"","value","labl","lga","piped_sewer_system","septic_tank","pit_latrine","open_drain","flushed_elsewhere","ventilated_improved_pit_latrine","pit_latrine_with_slab","open_pit_latrine","composting_toilet","hanging_toilet_latrine","no_facilities"
"149",808,"808. DIKWA","Dikwa",0,0,0,0,0,0,0,0,0,0,0
"150",809,"809. GUBIO","Gubio",0,0,0,0,0,0,0,0,0,0,0
"151",810,"810. GUZAMALA","Guzamala",0,0,0,0,0,0,0,0,0,0,0
"152",811,"811. GWAZO","Gwazo",0,0,0,0,0,0,0,0,0,0,0
"153",812,"812. HAWUL","Hawul",0,0,0,0,0,0,0,0,0,0,0
"154",813,"813. JERE","Jere",0,0,0,0,0,0,0,0,0,0,0
"155",814,"814. KAGA","Kaga",0,0,0,0,0,0,0,0,0,0,0
"156",815,"815. KALABALGE","Kalabalge",0,0,0,0,0,0,0,0,0,0,0
"157",816,"816. KONDUGA","Konduga",0,0,0,0,0,0,0,0,0,0,0
"158",817,"817. KUKAWA","Kukawa",0,0,0,0,0,0,0,0,0,0,0
"159",818,"818. KWAYA KUSAR","Kwaya Kusar",0,0,0,0,0,0,0,0,0,0,0
"160",819,"819. MAFA","Mafa",0,0,0,0,0,0,0,0,0,0,0
"161",820,"820. MAGUMERI","Magumeri",0,0,0,0,0,0,0,0,0,0,0
"162",821,"821. MAIDUGURI","Maiduguri",0,0,1,0,0,0,26,3,0,0,0
"163",822,"822. MARTE","Marte",0,0,0,0,0,0,0,0,0,0,0
"164",823,"823. MOBBAR","Mobbar",0,0,0,0,0,0,0,0,0,0,0
"165",824,"824. MONGUNO","Monguno",0,0,0,0,0,0,0,0,0,0,0
"166",825,"825. NGALA","Ngala",0,0,0,0,0,0,0,0,0,0,0
"167",826,"826. NGANZAI","Nganzai",0,0,0,0,0,0,0,0,0,0,0
"168",827,"827. SHANI","Shani",0,0,0,0,0,0,5,5,0,0,0
"169",901,"901. ABI","Abi",0,2,1,0,0,1,0,0,0,0,4
"170",902,"902. AKAMKPA","Akamkpa",0,0,0,0,0,0,0,0,0,0,0
"171",903,"903. AKPABUYO","Akpabuyo",0,0,0,0,0,0,0,0,0,0,0
"172",904,"904. BAKASSI","Bakassi",0,0,0,0,0,0,0,0,0,0,0
"173",905,"905. BEKWARRA","Bekwarra",0,3,4,0,0,3,0,0,0,0,0
"174",906,"906. BIASE","Biase",0,0,0,0,0,0,0,0,0,0,0
"175",907,"907. BOKI","Boki",0,0,0,0,0,0,0,0,0,0,0
"176",908,"908. CALABAR MUNICIPAL","Calabar Municipal",0,3,2,0,0,0,6,1,0,0,6
"177",909,"909. CALABAR SOUTH","Calabar South",0,5,2,0,0,2,1,0,0,0,0
"178",910,"910. ETUNG","Etung",0,0,0,0,0,1,2,1,0,1,15
"179",911,"911. IKOM","Ikom",0,0,0,0,0,0,0,0,0,0,0
"180",912,"912. OBANLIKU","Obanliku",0,0,0,0,0,0,0,0,0,0,0
"181",913,"913. OBUBRA","Obubra",0,0,0,0,0,0,1,0,0,0,9
"182",914,"914. OBUDU","Obudu",0,0,0,0,0,0,0,0,0,0,0
"183",915,"915. ODUKPANI","Odukpani",0,0,0,0,0,0,3,5,0,0,0
"184",916,"916. OGOJA","Ogoja",0,0,0,0,0,0,0,0,0,0,0
"185",917,"917. YAKURR UGEP NORTH","Yakurr Ugep North",0,4,1,0,0,2,1,0,0,0,2
"186",918,"918. YALA","Yala",0,0,0,0,0,0,4,1,0,0,5
"187",1001,"1001. ANIOCHA NORTH","Aniocha North",0,0,0,0,0,0,0,0,0,0,0
"188",1002,"1002. ANIOCHA SOUTH","Aniocha South",1,5,1,0,0,0,3,0,0,0,0
"189",1003,"1003. BOMADI","Bomadi",0,0,0,0,0,0,0,0,0,0,0
"190",1004,"1004. BURUTU","Burutu",0,0,0,0,0,0,0,0,0,0,0
"191",1005,"1005. ETHIOPE EAST","Ethiope East",0,0,0,0,0,0,0,0,0,0,0
"192",1006,"1006. ETHIOPE WEST","Ethiope West",3,0,0,0,0,0,6,3,0,0,8
"193",1007,"1007. IKA NORTH EAST","Ika North East",3,0,0,0,0,0,1,4,0,0,1
"194",1008,"1008. IKA SOUTH","Ika South",4,0,0,0,0,0,5,1,0,0,0
"195",1009,"1009. ISOKO NORTH","Isoko North",0,0,0,0,0,0,0,0,0,0,0
"196",1010,"1010. ISOKO SOUTH","Isoko South",1,0,0,0,0,0,0,0,0,0,0
"197",1011,"1011. NDOKWA EAST","Ndokwa East",0,0,0,0,0,0,0,0,0,0,0
"198",1012,"1012. NDOKWA WEST","Ndokwa West",16,1,1,0,0,0,1,1,0,0,0
"199",1013,"1013. OKPE","Okpe",8,13,2,0,1,0,3,2,0,0,11
"200",1014,"1014. OSHIMILI NORTH","Oshimili North",0,0,0,0,0,0,0,0,0,0,1
"201",1015,"1015. OSHIMILI SOUTH","Oshimili South",1,0,0,0,0,0,0,0,0,0,0
"202",1016,"1016. PATANI","Patani",0,0,0,0,0,0,0,0,0,0,0
"203",1017,"1017. SAPELE","Sapele",0,0,0,0,0,0,0,0,0,0,0
"204",1018,"1018. UDU","Udu",3,4,0,0,0,0,0,0,0,0,0
"205",1019,"1019. UGHELLI NORTH","Ughelli North",2,0,0,0,0,0,0,0,0,0,0
