value,labl,lga
3006,3006. IBADAN NORTH,Ibadan North
3007,3007. IBADAN NORTH EAST,Ibadan North East
3008,3008. IBADAN NORTH WEST,Ibadan North West
3009,3009. IBADAN SOUTH EAST,Ibadan South East
3010,3010. IBADAN SOUTH WEST,Ibadan South West
3011,3011. IBARAPA CENTRAL,Ibarapa Central
3012,3012. IBARAPA EAST,Ibarapa East
3013,3013. IBARAPA NORTH,Ibarapa North
3014,3014. IDO,Ido
3015,3015. IREPO,Irepo
3016,3016. ISEYIN,Iseyin
3017,3017. ITESIWAJU,Itesiwaju
3018,3018. IWAJOWA,Iwajowa
3019,3019. KAJOLA,Kajola
3020,3020. LAGELU,Lagelu
3021,3021. OGBOMOSHO NORTH,Ogbomosho North
3022,3022. OGBOMOSHO SOUTH,Ogbomosho South
3023,3023. OGO OLUWA,Ogo Oluwa
3024,3024. OLORUNSOGO,Olorunsogo
3025,3025. OLUYOLE,Oluyole
3026,3026. ONA  ARA,Ona Ara
3027,3027. ORELOPE,Orelope
3028,3028. ORIRE,Orire
3029,3029. OYO EAST,Oyo East
3030,3030. OYO WEST,Oyo West
3031,3031. SHAKI EAST,Shaki East
3032,3032. SHAKI WEST,Shaki West
3033,3033. SURULERE (OYO STATE),Surulere (Oyo State)
3101,3101. BARKIN LADI,Barkin Ladi
3102,3102. BASSA (PLATEAU STATE),Bassa (Plateau State)
3103,3103. BOKKOS,Bokkos
3104,3104. JOS EAST,Jos East
3105,3105. JOS NORTH,Jos North
3106,3106. JOS SOUTH,Jos South
3107,3107. KANAM,Kanam
3108,3108. KANKE,Kanke
3109,3109. LANGTANG NORTH,Langtang North
3110,3110. LANGTANG SOUTH,Langtang South
3111,3111. MANGU,Mangu
3112,3112. MIKANG,Mikang
3113,3113. PANKSHIN,Pankshin
3114,3114. QUA AN,Qua An
3115,3115. RIYOM,Riyom
3116,3116. SHENDAM,Shendam
3117,3117. WASE,Wase
3201,3201. ABUA ODUA,Abua Odua
3202,3202. AHOADA EAST,Ahoada East
3203,3203. AHOADA WEST,Ahoada West
3204,3204. AKUKU TORO,Akuku Toro
3205,3205. ANDONI,Andoni
3206,3206. ASARI TORO,Asari Toro
3207,3207. BONNY,Bonny
3208,3208. DEGEMA,Degema
3209,3209. ELEME,Eleme
3210,3210. EMUOHA,Emuoha
3211,3211. ETCHE,Etche
3212,3212. GOKANA,Gokana
3213,3213. IKWERRE,Ikwerre
3214,3214. KHANA,Khana
3215,3215. OBIO AKPOR,Obio Akpor
3216,3216. OGBA EGBEMA NDOR,Ogba Egbema Ndor
3217,3217. OGU BOLO,Ogu Bolo
3218,3218. OKIRIKA,Okirika
3219,3219. OMUMMA,Omumma
3220,3220. OPOBO NKORO,Opobo Nkoro
3221,3221. OYIGBO,Oyigbo
3222,3222. PORT HARCOURT,Port Harcourt
3223,3223. TAI,Tai
3301,3301. BINJI,Binji
3302,3302. BODINGA,Bodinga
3303,3303. DANGE SHUNI,Dange Shuni
3304,3304. GADA,Gada
3305,3305. GORONYO,Goronyo
3306,3306. GUDU,Gudu
3307,3307. GWADABAWA,Gwadabawa
3308,3308. ILELA,Ilela
3309,3309. ISA,Isa
